"","X","Id","Title","LocationNormalized","ContractType","ContractTime","Company","Category","SalaryNormalized","SourceName","level"
"22",26,25337172," pastry chef for red star rosette hotel","North East England","","","Clear Selection","Hospitality & Catering Jobs",24000,"caterer.com","Senior"
"23",27,25434785," process engineer","Berkshire","","permanent","Gregory Martin International","Engineering Jobs",41500,"cv-library.co.uk","Senior"
"24",28,25452606," chef de partie position in rosette hotel nyorks k","North Yorkshire","","","Clear Selection","Hospitality & Catering Jobs",16000,"caterer.com","Senior"
"25",29,25452680," sous chef for rosette kitchen up to","North East England","","","Clear Selection","Hospitality & Catering Jobs",26000,"caterer.com","Senior"
"26",30,25556432," general manager","East Sheen","","","Bee Recruitment London Ltd","Hospitality & Catering Jobs",31500,"caterer.com","Senior"
"27",31,25892031," mice sales and marketing manager","Buckinghamshire","","","Chess Partnership","Hospitality & Catering Jobs",30000,"caterer.com","Senior"
"28",32,27527047," cc developer","London","","permanent","Indigo 21 Ltd","IT Jobs",32500,"cv-library.co.uk","Mid-Level"
"29",33,27527050," php developer","Central London","","permanent","Indigo 21 Ltd","IT Jobs",45000,"cv-library.co.uk","Senior"
"30",34,27527063," website designer","York","","permanent","Indigo 21 Ltd","IT Jobs",25000,"cv-library.co.uk","Senior"
"31",35,27527077," business development manager","Newcastle Upon Tyne","","permanent","Asset Appointments","IT Jobs",21000,"cv-library.co.uk","Senior"
"32",36,27739522,"  chef de partie does it get any better than this","UK","","","Clear Selection","Hospitality & Catering Jobs",18000,"caterer.com","Senior"
"33",37,27739539," chef de partie sauce award winning hertford","UK","","","Clear Selection","Hospitality & Catering Jobs",18000,"caterer.com","Senior"
"34",38,27740574," pastry chef al aa rosette restaurant","UK","","","Clear Selection","Hospitality & Catering Jobs",19000,"caterer.com","Senior"
"35",39,27754996," qa engineer","Cambridge","","permanent","Indigo 21 Ltd","IT Jobs",30000,"cv-library.co.uk","Mid-Level"
"36",40,28059808," documentation engineer","Manchester","","contract","Rullion Engineering Ltd","Engineering Jobs",48000,"cv-library.co.uk","Mid-Level"
"37",41,28216382," bilingual customer service operator","UK","","permanent","Brite Recruitment","Customer Services Jobs",18000,"cv-library.co.uk","Mid-Level"
"38",42,28539205," customer event coordinator german speaking","UK","","permanent","Brite Recruitment","Customer Services Jobs",18250,"cv-library.co.uk","Mid-Level"
"39",43,28821429," planner","UK","","contract","Rullion Engineering Ltd","Engineering Jobs",76800,"cv-library.co.uk","Senior"
"40",44,29107908," bilingual reservationist customer service","Gloucestershire","","permanent","Brite Recruitment","Customer Services Jobs",16000,"cv-library.co.uk","Mid-Level"
"41",45,29570321," trampoline coach  grove leisure centre","Bushey","","permanent","Hertsmere Leisure","Travel Jobs",21542,"leisurejobs.com","Mid-Level"
"42",46,29570883," self employed swimming instructors","UK","","permanent","Kirklees Active Leisure","Travel Jobs",25776,"leisurejobs.com","Mid-Level"
"43",47,29570885," self employed sport coaches","UK","","contract","Kirklees Active Leisure","Travel Jobs",20880,"leisurejobs.com","Mid-Level"
"44",48,29571472," barwaiting staff the cricketers ","Sarratt","","permanent","Brunning & Price","Travel Jobs",11673,"leisurejobs.com","Mid-Level"
"45",49,29571506," deputy manager","UK","","permanent","Brunning & Price","Travel Jobs",24000,"leisurejobs.com","Senior"
"46",50,29571632," barwaiting staff the refectory godalming","Milford","","permanent","Brunning & Price","Travel Jobs",11673,"leisurejobs.com","Mid-Level"
"47",51,29650985," fine dining chefs for rosette restaurants up to","UK","","","Clear Selection","Hospitality & Catering Jobs",24000,"caterer.com","Senior"
"48",52,30192171," web developer","UK","","permanent","Indigo 21 Ltd","IT Jobs",35000,"cv-library.co.uk","Mid-Level"
"49",53,30292879," software engineermathematical modeller","Surrey","","permanent","Gregory Martin International","IT Jobs",30000,"cv-library.co.uk","Mid-Level"
"50",54,30502258," mathematical modeller","Surrey","","permanent","Gregory Martin International","IT Jobs",25000,"cv-library.co.uk","Mid-Level"
"51",56,30502285," software engineer","Surrey","","permanent","Gregory Martin International","IT Jobs",27500,"cv-library.co.uk","Mid-Level"
"52",58,31301427," mechanical engineer","Berkshire","","permanent","Gregory Martin International","Engineering Jobs",50000,"cv-library.co.uk","Senior"
"53",60,31340140," user experience developer","Surrey","","permanent","Gregory Martin International","IT Jobs",27500,"cv-library.co.uk","Mid-Level"
"54",62,31559355," field sales executive business development wide format printing","Maidstone","","permanent","MatchBox Recruiting Ltd","Sales Jobs",40000,"cv-library.co.uk","Mid-Level"
"55",63,31559362," it telesales","Bradford","","permanent","Code Blue Recruitment","Sales Jobs",20000,"cv-library.co.uk","Mid-Level"
"56",64,31559397," field engineer","Burgess Hill","","permanent","MatchBox Recruiting Ltd","Sales Jobs",42500,"cv-library.co.uk","Senior"
"57",65,31559481," sales negotiator ","Birmingham","","permanent","Brite Recruitment","Sales Jobs",15500,"cv-library.co.uk","Mid-Level"
"58",66,31794403," it recruitment consulltant","Lingfield","full_time","","Inspire Corporation","Other/General Jobs",22500,"zartis.com","Senior"
"59",67,31935432," chef de partie sutton hall macclesfield","UK","","permanent","Brunning & Price","Travel Jobs",17250,"leisurejobs.com","Senior"
"60",69,31989135," manufacturing engineer","Derbyshire","","permanent","Gregory Martin International","Engineering Jobs",42000,"cv-library.co.uk","Senior"
"61",70,32211674," c c software engineers all levels","Cambridge","","permanent","Indigo 21 Ltd","IT Jobs",32500,"cv-library.co.uk","Mid-Level"
"62",71,32233421," principle mechanical engineer","UK","","permanent","Rullion Engineering Ltd","Engineering Jobs",48500,"cv-library.co.uk","Mid-Level"
"63",72,32359589," assistant manager","Didsbury","","permanent","Marston's Inns And Taverns","Travel Jobs",14208,"leisurejobs.com","Senior"
"64",73,32417995," chef de partie award winning fine dining restaurant straights","UK","","","Chef Results","Hospitality & Catering Jobs",20500,"caterer.com","Senior"
"65",74,32423204," key account manager","South East London","","","Chess Partnership","Hospitality & Catering Jobs",42500,"caterer.com","Senior"
"66",75,32621550," chef de partie up to tips  outskirts","UK","","","Clear Selection","Hospitality & Catering Jobs",17000,"caterer.com","Senior"
"67",76,32621604," fb assistant amazing hotel unique dining benefits","Leicestershire","","","Clear Selection","Hospitality & Catering Jobs",12646,"caterer.com","Mid-Level"
"68",78,32756284," pastry demi chef de partie luxury award winning hotel free live in","Surrey","","","Chef Results","Hospitality & Catering Jobs",15000,"caterer.com","Senior"
"69",79,32966711," structural integrity engineer","Avon","","permanent","Gregory Martin International","Engineering Jobs",42000,"cv-library.co.uk","Senior"
"70",80,32992148," process project engineer","Witney","","permanent","MatchBox Recruiting Ltd","Manufacturing Jobs",35000,"cv-library.co.uk","Mid-Level"
"71",81,33317353," chef de partie banqueting live in ","UK","","","Clear Selection","Hospitality & Catering Jobs",18000,"caterer.com","Senior"
"72",82,33317550," sous near  fresh food pub up to tips","UK","","","Clear Selection","Hospitality & Catering Jobs",18000,"caterer.com","Junior"
"73",84,33469049," it recruitment consultant","UK","","permanent","Code Blue Recruitment","IT Jobs",25000,"cv-library.co.uk","Mid-Level"
"74",85,33891153," responsible mechancial engineer","Wolverhampton","","permanent","Rullion Engineering Ltd","Engineering Jobs",42000,"cv-library.co.uk","Mid-Level"
"75",87,34479775," credit controller","The City","","permanent","","Accounting & Finance Jobs",24000,"hays.co.uk","Mid-Level"
"76",88,34558621," chef de partie  live in up to tips","UK","","","Clear Selection","Hospitality & Catering Jobs",17500,"caterer.com","Senior"
"77",89,34558721," chef de partie burton on trent up to","Staffordshire","","","Clear Selection","Hospitality & Catering Jobs",17000,"caterer.com","Senior"
"78",90,34558783," chef de parties required nationwide many with live in","UK","","","Clear Selection","Hospitality & Catering Jobs",19000,"caterer.com","Senior"
"79",91,34558938," pastry chefbaker artisan bakery  coast","UK","","","Clear Selection","Hospitality & Catering Jobs",21000,"caterer.com","Senior"
"80",93,34781787," mechanical fitter machine tool fitter","Wolverhampton","","contract","Rullion Engineering Ltd","Manufacturing Jobs",30662,"cv-library.co.uk","Mid-Level"
"81",94,34790490," java developer","UK","","permanent","","IT Jobs",34000,"theitjobboard.co.uk","Mid-Level"
"82",95,34858754," chef de partie or strong demi","Suffolk","","","Clear Selection","Hospitality & Catering Jobs",16000,"jobs.catererandhotelkeeper.com","Senior"
"83",98,35152761," plastic extrusion setter nights","Haywards Heath","","permanent","MatchBox Recruiting Ltd","Engineering Jobs",26500,"cv-library.co.uk","Mid-Level"
"84",100,35450486," cluster revenue manager","UK","","","Chess Partnership","Hospitality & Catering Jobs",45000,"caterer.com","Senior"
"85",101,35584733," restaurant manager","Suffolk","","","Clear Selection","Hospitality & Catering Jobs",22000,"jobs.catererandhotelkeeper.com","Senior"
"86",102,35740450," graduate software engineer","Hampshire","","permanent","Gregory Martin International","IT Jobs",22500,"cv-library.co.uk","Mid-Level"
"87",103,36050971," revenue manager","Jersey","","","Marshall Human Resources","Hospitality & Catering Jobs",26500,"caterer.com","Senior"
"88",104,36757414," primary teachers","South Yorkshire","","contract","Vision for Education","Teaching Jobs",27600,"cv-library.co.uk","Mid-Level"
"89",105,37128991," chef de partie small food focused hotel all fresh tips","Nottinghamshire","","","Chef Results","Hospitality & Catering Jobs",15000,"caterer.com","Senior"
"90",106,37129908," sous chef relaxed country pub all fresh food tips","Northamptonshire","","","Chef Results","Hospitality & Catering Jobs",18000,"caterer.com","Senior"
"91",107,37433988," chef de partie free live in quirky gastro restaurant","London","","","Clear Selection","Hospitality & Catering Jobs",15500,"jobs.catererandhotelkeeper.com","Senior"
"92",110,37799823," chef de partie needed rosette restaurant live in","London","","","Clear Selection","Hospitality & Catering Jobs",15500,"jobs.catererandhotelkeeper.com","Senior"
"93",111,37800128," sous chef for fabulous private hotel","Woodbridge","","","Clear Selection","Hospitality & Catering Jobs",19000,"jobs.catererandhotelkeeper.com","Senior"
"94",113,37951211," commis chef   package","Milton Keynes","","","Clear Selection","Hospitality & Catering Jobs",14000,"caterer.com","Senior"
"95",114,38209887," transaction services executive","Bristol","","permanent","","Accounting & Finance Jobs",37500,"hays.co.uk","Mid-Level"
"96",115,38209888," audit executive","Bristol","","permanent","","Accounting & Finance Jobs",34000,"hays.co.uk","Mid-Level"
"97",116,38209893," audit assistant manager","Bristol","","permanent","","Accounting & Finance Jobs",35000,"hays.co.uk","Senior"
"98",118,38223564," commis chef open plan kitchen brasserie restaurant live in","Hertfordshire","","","Chef Results","Hospitality & Catering Jobs",14500,"jobs.catererandhotelkeeper.com","Senior"
"99",119,38382572," barcellar person refectory ","Milford","","permanent","Brunning & Price","Travel Jobs",12000,"leisurejobs.com","Mid-Level"
"100",121,38758190," account executive","Basingstoke","","permanent","","IT Jobs",18000,"hays.co.uk","Mid-Level"
"101",122,38909389," chef de partie fine dining restaurant stunning venue good tips","Derbyshire","","","Chef Results","Hospitality & Catering Jobs",16500,"caterer.com","Senior"
"102",123,39000184," electronics engineer","Maidstone","","permanent","MatchBox Recruiting Ltd","Engineering Jobs",50000,"cv-library.co.uk","Senior"
"103",126,40172069," chef de partie red star aa rosette hotel","UK","","","Clear Selection","Hospitality & Catering Jobs",17500,"caterer.com","Senior"
"104",127,40172096," chef de partie country house hotel development opportunities","West Yorkshire","","","Chef Results","Hospitality & Catering Jobs",17000,"caterer.com","Senior"
"105",128,40317425," chef de partie charming hotel all fresh food tips live in","Leicestershire","","","Chef Results","Hospitality & Catering Jobs",16500,"jobs.catererandhotelkeeper.com","Senior"
"106",129,40363795," telesales account manager","Bradford","","permanent","Code Blue Recruitment","Sales Jobs",20500,"cv-library.co.uk","Senior"
"107",130,40379849," butlerroom service manager","South East London","","","Regent Recruitment","Hospitality & Catering Jobs",40000,"caterer.com","Senior"
"108",131,40880208," compliance manager","Salisbury","","permanent","","Accounting & Finance Jobs",37500,"hays.co.uk","Senior"
"109",133,41346430," chef de partie refectory ","Milford","","permanent","Brunning & Price","Travel Jobs",13056,"leisurejobs.com","Senior"
"110",134,41406133," it support technician","UK","","permanent","MatchBox Recruiting Ltd","IT Jobs",23500,"cv-library.co.uk","Mid-Level"
"111",137,41783094," chef de partie high volume banqueting department all fresh food","UK","","","Chef Results","Hospitality & Catering Jobs",22500,"caterer.com","Senior"
"112",138,41879934," future leaders development programme technology","UK","","permanent","","IT Jobs",36000,"theitjobboard.co.uk","Senior"
"113",140,42264990," chef de partie high quality hotel fresh international cuisine","Hertfordshire","","","Chef Results","Hospitality & Catering Jobs",20500,"jobs.catererandhotelkeeper.com","Senior"
"114",142,42757111," exhibition project manager","South East London","","permanent","Andy File Associates Ltd","Other/General Jobs",40000,"cv-library.co.uk","Senior"
"115",143,42836168," demi chef de partie stunning hotel fine dining restaurant","North Yorkshire","","","Chef Results","Hospitality & Catering Jobs",14000,"jobs.catererandhotelkeeper.com","Senior"
"116",144,42949681," pastry chef de partie  rosette restaurant ts","UK","","","Clear Selection","Hospitality & Catering Jobs",18000,"caterer.com","Senior"
"117",145,43196787," chef de partie high volume conference centre all fresh food","UK","","","Chef Results","Hospitality & Catering Jobs",20000,"caterer.com","Senior"
"118",146,43197040," demi chef de partie large four star hotel various dining options","Leeds","","","Chef Results","Hospitality & Catering Jobs",15500,"caterer.com","Senior"
"119",147,43391380," led sales executive","Middleton","","permanent","F1rst Commercial Recruitment Ltd","Sales Jobs",50000,"cv-library.co.uk","Mid-Level"
"120",148,43391464," business development executive","Middleton","","permanent","F1rst Commercial Recruitment Ltd","Sales Jobs",37000,"cv-library.co.uk","Mid-Level"
"121",149,43611713," sales engineer","North West London","","permanent","OP","Sales Jobs",31000,"cv-library.co.uk","Mid-Level"
"122",152,43611886," property buyer telesales","UK","","permanent","Serata Search  Ltd","Sales Jobs",20500,"cv-library.co.uk","Mid-Level"
"123",153,43654928," chef de partie all round skills ambitious restaurant tips","North Yorkshire","","","Chef Results","Hospitality & Catering Jobs",17000,"caterer.com","Senior"
"124",154,43713923," maintenance electrician","London","","contract","","Creative & Design Jobs",24480,"hays.co.uk","Mid-Level"
"125",155,44156175," business development account management it sales","Burton-On-Trent","full_time","","Blues Point Ltd","Other/General Jobs",21000,"zartis.com","Mid-Level"
"126",156,44325443," new business sales various financial markets software or data","London","","","Excelsior Professional Search Ltd","Accounting & Finance Jobs",70000,"eFinancialCareers","Mid-Level"
"127",157,44363005," electrical mechanical engineer","Poole","","permanent","Indigo 21 Ltd","Engineering Jobs",30000,"cv-library.co.uk","Mid-Level"
"128",158,44436407," hospital contracts manager","Cumbria","","permanent","MatchBox Recruiting Ltd","Sales Jobs",47500,"cv-library.co.uk","Senior"
"129",159,44452524," chef de partie","UK","","","Clear Selection","Hospitality & Catering Jobs",17000,"caterer.com","Senior"
"130",160,44452543," sous chef straight shifts bury st edmunds up to","UK","","","Clear Selection","Hospitality & Catering Jobs",23000,"caterer.com","Senior"
"131",162,45057486," manager","UK","","","Clear Selection","Hospitality & Catering Jobs",25000,"caterer.com","Senior"
"132",164,45225671," estimatormajor civil engineering   ","The City","","permanent","Randstad","Engineering Jobs",66500,"rengineeringjobs.com","Senior"
"133",165,45358437," commis chef","Tring","","permanent","Champneys Health Resort","Travel Jobs",10000,"leisurejobs.com","Senior"
"134",166,45358799," retailer pt","Bath","","permanent","Champneys Health Resort","Travel Jobs",12480,"leisurejobs.com","Mid-Level"
"135",167,45358813," reservations consultant","Henlow","","permanent","Champneys Health Resort","Travel Jobs",13440,"leisurejobs.com","Mid-Level"
"136",168,45358814," kitchen porter x","UK","","permanent","Champneys Health Resort","Travel Jobs",12000,"leisurejobs.com","Mid-Level"
"137",169,45358830," waiterwaitress","Tring","","contract","Champneys Health Resort","Travel Jobs",10905,"leisurejobs.com","Mid-Level"
"138",170,45399086," customer coordinator ","Oxford","","permanent","Brite Recruitment","Customer Services Jobs",17377,"cv-library.co.uk","Mid-Level"
"139",171,45576973," chef de partie coastal fresh food pub ","Suffolk","","","Clear Selection","Hospitality & Catering Jobs",16500,"jobs.catererandhotelkeeper.com","Senior"
"140",172,46123950," project manager","Bradford","","permanent","The Works Uk Ltd","Trade & Construction Jobs",24500,"cv-library.co.uk","Senior"
"141",173,46126154," newly qualified rotation scheme","London","","","Carnegie Consulting","Accounting & Finance Jobs",27500,"eFinancialCareers","Mid-Level"
"142",174,46172673," borer","Leeds","","permanent","The Works Uk Ltd","Engineering Jobs",24854,"cv-library.co.uk","Mid-Level"
"143",175,46172940," cnc turner","Bradford","","permanent","The Works Uk Ltd","Engineering Jobs",22617,"cv-library.co.uk","Mid-Level"
"144",176,46172974," cnc programmer","Huddersfield","","permanent","The Works Uk Ltd","Engineering Jobs",24000,"cv-library.co.uk","Mid-Level"
"145",177,46172991," cnc setter operator","Rotherham","","permanent","The Works Uk Ltd","Engineering Jobs",20000,"cv-library.co.uk","Mid-Level"
"146",179,46206763," national key account manager","South East England","full_time","","SourceDogg","Other/General Jobs",45000,"zartis.com","Senior"
"147",180,46290185," front of house manager","UK","","","Clear Selection","Hospitality & Catering Jobs",24000,"caterer.com","Senior"
"148",181,46352406," personal tax advisor","West Sussex","","permanent","Indigo 21 Ltd","Accounting & Finance Jobs",32500,"cv-library.co.uk","Mid-Level"
"149",182,46541847," chef de partie accredited boutique hotel share of tips","UK","","","Chef Results","Hospitality & Catering Jobs",16000,"caterer.com","Senior"
"150",183,46626508," support worker","UK","full_time","","","Healthcare & Nursing Jobs",12345,"careworx.co.uk","Mid-Level"
"151",185,46626511," staff nurse","Berkshire","full_time","","","Healthcare & Nursing Jobs",22560,"careworx.co.uk","Mid-Level"
"152",186,46626514," pharmacy technician ","Norwich","full_time","","","Healthcare & Nursing Jobs",18000,"careworx.co.uk","Mid-Level"
"153",188,46626537," rgn registered nurse","UK","full_time","","","Healthcare & Nursing Jobs",23040,"careworx.co.uk","Mid-Level"
"154",189,46626546," rgn nurse","Bury St. Edmunds","full_time","","","Healthcare & Nursing Jobs",23808,"careworx.co.uk","Mid-Level"
"155",190,46626547," scrub nurse","Braintree","full_time","","","Healthcare & Nursing Jobs",30000,"careworx.co.uk","Mid-Level"
"156",191,46626549," healthcare assistant ","Nottingham","full_time","","","Healthcare & Nursing Jobs",18000,"careworx.co.uk","Mid-Level"
"157",192,46626555," consultant","Norwich","full_time","","","Healthcare & Nursing Jobs",50000,"careworx.co.uk","Mid-Level"
"158",193,46626557," operating department practitioner odp ","Nottingham","full_time","","","Healthcare & Nursing Jobs",26000,"careworx.co.uk","Mid-Level"
"159",194,46626559," rgn prison nurse","Staffordshire","full_time","","","Healthcare & Nursing Jobs",27500,"careworx.co.uk","Mid-Level"
"160",195,46626565," clinical lead ","Driffield","full_time","","","Healthcare & Nursing Jobs",30000,"careworx.co.uk","Senior"
"161",196,46626566," clinical research nurse","Nottingham","full_time","","","Healthcare & Nursing Jobs",30000,"careworx.co.uk","Mid-Level"
"162",198,46626573," prison nurse","Nottinghamshire","full_time","","","Healthcare & Nursing Jobs",40000,"careworx.co.uk","Mid-Level"
"163",199,46626574," care assistants and support workers ","Glasgow","full_time","","","Healthcare & Nursing Jobs",25920,"careworx.co.uk","Mid-Level"
"164",200,46626754," registered nurse","Edinburgh","full_time","","","Healthcare & Nursing Jobs",76800,"careworx.co.uk","Mid-Level"
"165",201,46626780," rmn registered mental nurse","Blyth","full_time","","","Healthcare & Nursing Jobs",24000,"careworx.co.uk","Mid-Level"
"166",202,46626799," saturday only night nurse","Winchester","part_time","","","Healthcare & Nursing Jobs",25267,"careworx.co.uk","Mid-Level"
"167",203,46626802," nursing home staff nurse","Surrey","full_time","","","Healthcare & Nursing Jobs",23040,"careworx.co.uk","Mid-Level"
"168",204,46626826," substance misuse nurse","Kent","full_time","","","Healthcare & Nursing Jobs",30500,"careworx.co.uk","Mid-Level"
"169",205,46626831," registered mental health nurse","Durham","part_time","","","Healthcare & Nursing Jobs",29760,"careworx.co.uk","Mid-Level"
"170",207,46626833," registered general nurse","Sunderland","part_time","","","Healthcare & Nursing Jobs",28800,"careworx.co.uk","Mid-Level"
"171",208,46626837," care assistant ","Blyth","","","","Healthcare & Nursing Jobs",14880,"careworx.co.uk","Senior"
"172",209,46626838," care assistant  ","UK","","","","Healthcare & Nursing Jobs",14880,"careworx.co.uk","Senior"
"173",213,46626850," rgn southampton","Southampton","full_time","","","Healthcare & Nursing Jobs",24000,"careworx.co.uk","Mid-Level"
"174",214,46626856," rgn staff nurse","UK","full_time","","","Healthcare & Nursing Jobs",23040,"careworx.co.uk","Mid-Level"
"175",215,46626857," care assistant hampshire","Hampshire","full_time","","","Healthcare & Nursing Jobs",11673,"careworx.co.uk","Mid-Level"
"176",216,46626858," nurse","Essex","full_time","","","Healthcare & Nursing Jobs",24000,"careworx.co.uk","Mid-Level"
"177",217,46626860," registered home manager","Bournemouth","full_time","","","Healthcare & Nursing Jobs",30000,"careworx.co.uk","Senior"
"178",218,46626884," nursing home manager","Manchester","full_time","","","Healthcare & Nursing Jobs",32500,"careworx.co.uk","Senior"
"179",219,46626893," deputy nursing home manager","UK","full_time","","","Healthcare & Nursing Jobs",25440,"careworx.co.uk","Senior"
"180",220,46626903," rmn prison nurse","UK","full_time","","","Healthcare & Nursing Jobs",30000,"careworx.co.uk","Mid-Level"
"181",225,46626927," idts nurse","Norwich","full_time","","","Healthcare & Nursing Jobs",32000,"careworx.co.uk","Mid-Level"
"182",227,46626938," secure unit nurse","Shrewsbury","full_time","","","Healthcare & Nursing Jobs",26500,"careworx.co.uk","Mid-Level"
"183",228,46626945," prison rmn nurse","Rugby","full_time","","","Healthcare & Nursing Jobs",27000,"careworx.co.uk","Mid-Level"
"184",229,46626980," ooh gp ","Ipswich","","","","Healthcare & Nursing Jobs",144000,"careworx.co.uk","Mid-Level"
"185",231,46626991," surgical and medical nurse","Scotland","","","","Healthcare & Nursing Jobs",67200,"careworx.co.uk","Mid-Level"
"186",232,46626994," elderly care nurses urgently required","Scotland","","","","Healthcare & Nursing Jobs",33600,"careworx.co.uk","Mid-Level"
"187",233,46627024," social worker","Essex","full_time","","","Healthcare & Nursing Jobs",29500,"careworx.co.uk","Mid-Level"
"188",235,46627076," pharmacy manager","Gainsborough","full_time","","","Healthcare & Nursing Jobs",42500,"careworx.co.uk","Senior"
"189",240,46627102," home healthcare assistant ","Aberdeen","part_time","","","Healthcare & Nursing Jobs",14880,"careworx.co.uk","Mid-Level"
"190",241,46627111," family support worker","Buckinghamshire","part_time","","","Healthcare & Nursing Jobs",20160,"careworx.co.uk","Mid-Level"
"191",243,46627116," residential support worker","Surrey","part_time","","","Healthcare & Nursing Jobs",16320,"careworx.co.uk","Mid-Level"
"192",245,46627118," maths teacher","Harlow","full_time","","","Healthcare & Nursing Jobs",26500,"careworx.co.uk","Mid-Level"
"193",246,46627119," qualified social worker","North London","full_time","","","Healthcare & Nursing Jobs",48000,"careworx.co.uk","Mid-Level"
"194",247,46627121," social work practitioner ","West London","","","","Healthcare & Nursing Jobs",48000,"careworx.co.uk","Senior"
"195",250,46627143," care coordinator ","Woking","full_time","","","Healthcare & Nursing Jobs",19000,"careworx.co.uk","Mid-Level"
"196",251,46627144," community support worker","Woking","part_time","","","Healthcare & Nursing Jobs",18240,"careworx.co.uk","Mid-Level"
"197",254,46627236," rgn rmn registered nurse","UK","","","","Healthcare & Nursing Jobs",33600,"careworx.co.uk","Mid-Level"
"198",258,46627240," rgnrmn registered nurse","Fife","","","","Healthcare & Nursing Jobs",33600,"careworx.co.uk","Mid-Level"
"199",268,46627276," rnmh registered nurse","Torquay","part_time","","","Healthcare & Nursing Jobs",23178,"careworx.co.uk","Mid-Level"
"200",269,46627278," rnld exeter","Exeter","part_time","","","Healthcare & Nursing Jobs",23178,"careworx.co.uk","Mid-Level"
"201",270,46627290," community learning disability support workers","Cambridge","part_time","","","Healthcare & Nursing Jobs",14208,"careworx.co.uk","Mid-Level"
"202",272,46627298," gp liaison  salesbus dev","Woking","full_time","","","Healthcare & Nursing Jobs",26500,"careworx.co.uk","Mid-Level"
"203",274,46627316," emergency department consultant","London","full_time","","","Healthcare & Nursing Jobs",85000,"careworx.co.uk","Mid-Level"
"204",275,46627323," domiciliary care manager","Sutton Green","full_time","","","Healthcare & Nursing Jobs",27500,"careworx.co.uk","Senior"
"205",280,46627361," paediatric staff nurse","London","full_time","","","Healthcare & Nursing Jobs",36000,"careworx.co.uk","Mid-Level"
"206",281,46627394," clinic nurse","London","full_time","","","Healthcare & Nursing Jobs",26750,"careworx.co.uk","Mid-Level"
"207",282,46627397," clinical nurse","London","full_time","","","Healthcare & Nursing Jobs",34355,"careworx.co.uk","Senior"
"208",283,46627399," surgical night nurse","London","full_time","","","Healthcare & Nursing Jobs",36850,"careworx.co.uk","Mid-Level"
"209",287,46627405," support workers","Looe","part_time","","","Healthcare & Nursing Jobs",16800,"careworx.co.uk","Mid-Level"
"210",288,46627406," support workers ","UK","part_time","","","Healthcare & Nursing Jobs",17280,"careworx.co.uk","Mid-Level"
