Id,Title,FullDescription,LocationRaw,LocationNormalized,ContractType,ContractTime,Company,Category,SalaryRaw,SalaryNormalized,SourceName
69688109,Accounts Clerk,"Exp Accounts Clerk for Construction Co. in Harefield Car Essential, Fulltime, ****K Exp in Sage Intergrity (EVO M) Send CV infoltcsouthern.com",Harefield,Harefield,,permanent,Londonjobs Evening Standard Ptner,Accounting & Finance Jobs,25K,25000,jobsite.co.uk
69688112,Internal Account Executive,"Internal Account Manager jobs inBirmingham. Zest Medical are recruiting for an Account Executive for a full time vacancy inBirmingham. Working for this fast growing company this is a key customer oriented role and a fantastic opportunity to join the sales team as an Account Manager. Our client is an exciting, proactive organisation seeking to expand their market presence and need a self motivated person to complement their competitive plans in the next stage of growth. Reporting to the Sales Director you will be responsible for managing existing customer accounts, promoting all product ranges, negotiating new business and project managing your own database. Ultimately increasing company turnover and promoting their brand within the marketplace. This role will ideally suit someone from within the Optical industry, but training will be provided as you will need to be outgoing, confident and meticulous with excellent communication skills, a highly professional telephone manner with the flexibility, enthusiasm when working under pressure Previous knowledge and experience in areas of account management and customer services will be useful. In return you will be offered a salary up to **** (up to ****k OTE) and the opportunity to work with a fast and rapidly growing business that can offer career progression with a commensurate salary.",Birmingham,Birmingham,,permanent,Zest Business Group Ltd,Sales Jobs,18k - 25k pa + package,21500,jobsite.co.uk
69688115,Business Development Manager,"Territory Sales Executive: Manchester and surrounding regions: Up To **** Basic  Company car Ote Uncapped A fantastic opportunity has arisen to join a highly regarded, well respected, confidential waste destruction company. Our client is seeking and experience, driven, and proactive sales professional to join their successful team. You will benefit from a basic salary of **** with uncapped OTE. THE ROLE  Selling the contracted confidential waste services to any business sector across the defined region and developing and maintaining clients that you obtain  Develop a specified territory by identifying and targeting prospects through any sources, main sources are coldcalling, teleprospecting, and mail campaigns.  You will have the back up and support of a Regional sales manager whenever needed balanced with the autonomy to demonstrate your commercial ability to achieve targets THE PERSON  The successful candidate will have a proven track record within the document destruction industry.  A new business hunter is required with the ability to gain a quick rapport with customers, as well as having a dynamic, professional, and targeted approach. THE PACKAGE  Basic salary ****  First year OTE ****k  Company car  Uncapped commission scheme  Mobile phone  Excellent opporunity for career progression within a management role",Cheshire,Cheshire,,permanent,Prime Time Sales   Watford,Sales Jobs,22k - 25k pa,23500,jobsite.co.uk
69688116,Transport Team Manager," To manage driver resources and performance whilst on shift ensuring a smooth and efficient transport operation that completes all deliveries on time in full  To ensure legal compliance to all relevant Transport functions such as fleet, driver regulations and H S  To motivate proactively the Transport team on a daily basis to ensure that Department KPIs and service levels are achieved  To identify operational issues and opportunities, escalating them to the Transport Manager  To undertake such additional duties as may be reasonably required for the effective role within the office.  To ensure Health and Safety and Safe Systems of Work are adhered to within the Transport Department and all areas associated with delivering to the customer  Maintain and further develop a high level of teamwork and morale within the Department  To build rapport, build trust and respect from the client and other internal customers  To assess situations and necessary information in order to resolve issues  To liaise and communicate effectively across functions  To meet customer needs and deadlines on a day to day basis, acting with the customer in mind  To manage and review the workload of individuals through target setting and performance measurement, providing regular feedback and coaching as required  To motivate and develop team in order to create a climate in which people want to achieve their best and are integral members of the team  To manage in excess of **** full time drivers or their equivalent to ensure that all Site and customer objectives are achieved  To manage support functions such as shunters, load coordinators and temperature checkers, ensuring internal customers have the required standard of support to maintain customer performance level Who we re looking for  Experience of working within a transport environment  Knowledge of computerised scheduling and driver management packages would be an advantage  Experience of supervising / managing a team  Experience of disciplinary / grievance  Ability to work on your own initiative, working to strict deadlines  A good communicator both verbal and written  Excellent PC skills  essential  A flexible team based approach  General awareness of health and safety",Warrington,Warrington,,permanent,Michael Page Procurement and Supply Chain,Logistics & Warehouse Jobs,"23,000-25,000",24000,jobsite.co.uk
69688119,Helpdesk Supervisor (Multilingual),"A successful buildings maintenance company in Essex is recruiting for a Heldesk Supervisor through expansion. The role will be leading a team of 5 in who work in the function of Helpdesk support. Main job responsibilities will overseeing eth small but growing team who are responsible for receiving maintenance jobs and alerts via email and specialist software, responding to these and sending the jobs out to relevant contractors to carry out the work. You will also be booking in works, liaising with engineers, prioritising work loads and jobs and keeping all clients up to date with schedules and estimated completion times. You will be responsible for monitoring all incoming emails and correspondence and responding accordingly whilst keeping other departments internally informed. The ideal candidate will have excellent customer service and computer skills but will also need to speak at least two European languages fluently as you will be called upon to speak directly with European clients. Preferably you will have experience in the building, construction, maintenance, facilities management or engineering industries. You must be able to talk to clients and contractors at a certain technical level so should be familiar with this or able to grasp very quickly. You must also be able once trained to make independent decisions on jobs so should be a naturally confident person. Full training in the job role and progression opportunities are available for the right candidate as well as an excellent benefits package. LANGUAGES IS THE KEY AND MOST IMPORTANT PART OF THIS ROLE. Hours are Monday  Friday 8.30am  5.30pm","Colchester,Essex",UK,,permanent,SVC Consultancy Limited,Admin Jobs,"20,000 - 25,000 DOE",22500,jobsite.co.uk
69688121,Deputy Store Manager,"Deputy Manager, Skegness, OTE **** Number **** retailer in their sector seeks a driven and ambitious retail professional to join them as deputy manager for a fast paced store in Skegness. You need to be sales focussed and career driven as this role offers a basic salary of up to ****k plus excellent OTE of **** As deputy manager you will support the store manager in ensuring that your team deliver a friendly approach and exceptional customer service, demonstrating a passion for the products and services we offer.  You will help lead the team in establishing strong relationships with your customer base.  Convert interest and enquiries into sales, ultimately to exceed store targets and KPI s.  You will motivate the store team and inspire them in working towards continued improvement in skills and experience  Demonstrate real passion for your own development and that of others. What do you need to be successful deputy manager?  Experience of leading a team in a retail or sales environment  Strong sales background and a proven ability of successfully working to and exceeding targets  Ambitious and passionate about delivering excellent service  Excellent people management skills including coaching and performance management  Hardworking, dedicated and willing to go the extra mile to make a success  Target driven and a team player  Great rapport building skills  Confident, tenacious, self starter, personable and enthusiastic  Driven to achieve through service and standards What s in it for you?  Industry leading salary and commission package  Continuous training and opportunity to grow  First class benefits and incentive scheme including tickets to major events, holidays and many more  Top performers will receive a tailor made Personal Development Plan If you are a deputy manager, assistant manager, retail manager, sales manager, store manager, senior sales consultant, supervisor, floor manager, trading manager, team leader, department manager and have experience working for a blue chip brand within retail, leisure, banking or the sales industry please apply today. If you are genuinely looking for a career in retail rather than a job then this company and opportunity is for you. Please apply if interested.","Skegness,Lincolnshire",UK,,permanent,360 Resourcing Solutions,Retail Jobs,16k - 25k per year + OTE 25k,20500,jobsite.co.uk
69688122,CAD Operator,"Are you a great CAD Operator looking for a new job for ****01****? Key Role Objectives Create and modify detailed drawings from customer data using ProEngineer bespoke CAD software. Check completed layouts and drawings for clarity, completeness and conformity to standards, procedures, specifications and accuracy of dimensioning. Main Duties and Responsibilities Produce detail designed ****D solid CAD models drawings using ProEngineer bespoke software. Creation of component tooling fixtures jigs by utilising bespoke ****D CAD software. Check yours other Draughtsperson s work. Liaise with Manufacturing to ensure that engineering intent and manufacturability is captured in the detail drawings. Working from approved Engineering Change Requests, modify ProEngineer drawings and record changes as required. Attend Design Reviews Project Assessments as requested. Contribute to the development of concepts and techniques. Be proactive in the support of the health, safety, environment and welfare of the business and its stakeholders. Essential Strong understanding in the use of ****D CAD packages. Competent at producing 2D drawings ****D CAD models. Drawing office experience. Be able to work to written instructions, procedures, specifications and standards. Being selfmotivated, focused and the ability to work with minimum supervision to deadlines. Being a good communicator, orally and written with good presentation skills. Being proactive, flexible and adaptable. Computer literate, including knowledge of Microsoft Office. Must be willing to undergo a security vetting process. Desirable Experience of working with ProEngineer software within a drawing office environment. Experience of working with electronic storage and data management. Problem solving and fault finding skills and attributes. Appreciation of innovation and continuous improvement. The ability to work as part of a team and take responsibility for decisions. French language speaker Hours are **** per week with a salary of ****k pa","Chichester,Havant,West Sussex",UK,,permanent,FPR Group,Engineering Jobs,25000,25000,jobsite.co.uk
69688123,Topographical Surveyor,"TOPOGRAPHICAL SURVEYOR ****p/a Job Requirements Strong analytical skills and a creative approach to problem solving The ability to work to a high degree of accuracy The ability to analyse and interpret graphical data Knowledge of planning and environmental regulations Having knowledge regarding health safety regulations Strong communication and presentation skills The ability to prioritise and plan effectively The ability to work as part of a team Having knowledge about CAD programs and surveying technology Having IT skills Job Role Must have the ability to undertake Topographical Surveys To understand and follow the Company Quality Manual for all site work/risk assessments/admin/CAD procedures. All risk assessment findings will be relayed to everyone present on site. You are required to locate jobs and understand survey requirements and planning of time with minimal input from Survey Manager/Senior Surveyor. To contact and communicate with Assistants regarding the planning and timings of the survey with brief descriptions. You are required to carry out H S risk assessments on site, plan and execute surveys from information supplied, make decisions on site for all time management and any changes to procedures. Minimal input support from Survey Manager/Senior Surveyor, assistance will/can be given as required or requested should any issues arise on site. A good understanding of instruments and equipment is expected, you must be able to train others in their use and be familiar with instrument settings and how to calibrate, check and adjust survey instruments. You will be able to CAD Topographical surveys to a high standard which complies with the Quality Management Manual with minimal input on job checking. You are required to be aware of deadlines and to meet all deadlines set by Survey Manager/Senior Surveyor. Benefits Company Car Mobile phone Company sick pay Expenses Corporate clothing Working Conditions Some jobs require an employee to work under extreme weather conditions and environmental conditions of the work site. You will be required to travel. There may be some overnight stayaways. Physical Requirements The job duties require an employee to stand or walk for extended periods of time. You may on occasion be required to lift manhole covers. The job duties may require an employee to traverse rough terrain. Salary circa **** depending on experience.","Leamington Spa,Warwick,Coventry,Warwickshire",UK,,permanent,Workworld,Trade & Construction Jobs,"c25,000",25000,jobsite.co.uk
69688126,2nd Line Support Analyst,"My client a leading International business is seeking a 2nd Line Support Analyst to join their successful IT department. As the 2nd Line Support Analyst you will provide reliable and efficient service based on leadingedge applications and systems to help ensure the ongoing and continued success of their business. As the 2nd Line Support Analyst, you will possess the following skills and experiences: Act as 1st / 2nd line support for locations throughout the UK. Manage user requests and ensure all calls are handled in line with the companies SLAs. Provide solutions, guidance and help with user problems with Microsoft Office **** and Microsoft Office 2010, and inhouse systems wherever possible. Provide hardware fault finding expertise and resolve where possible. Replace and return faulty equipment to the companies Central IT office. Workstation setups, including software installs. Replace Network and video cards. Troubleshoot multi functional device printer issues. In addition to the above you will possess excellent interpersonal and communication skills in order to support users on IT related matters to ensure the efficient and smooth running of location. To be considered for this opportunity, please forward your updated CV and salary expectations to Neil_Alexanderspring.com Spring Technology is acting as an Employment Business in relation to this vacancy. Spring Technology is an Equal Opportunities employer; we welcome applicants from all backgrounds.",Newcastle upon Tyne,Newcastle Upon Tyne,,permanent,Spring Grp ,IT Jobs,20000.00 - 25000.00 pa,22500,jobsite.co.uk
69688128,Finance Assistant,"Finance Assistant Accountant is required by our client to join their friendly team based in their Head Offices based in Warwick. Reporting directly to the Finance Controller for a interim period if 6 months. The incumbent will be required to ensure all ledgers are maintained and queries are fully investigated and resolved. Recent experience within Sales and Purchase Ledger reconciliations would be highly desirable along with Credit Control. Responsible for monthly accruals and prepayments, producing monthly intrastat reports, manage SAGE payments. For this role the ideal candidate will have Sales, Purchase and credit control experience. Advanced Excel including V look ups, pivot tables. CIMA part qualified or equivalent and experience of SAP. This is a full time position offering **** hours a week Monday to Friday. ASC Connections is a leading recruitment business specialising within areas of both technical and business services. We operate as an employment business or an employment agency for all temporary and permanent roles respectively. For an extensive range of job opportunities please visit our website at URL removed",Warwickshire,Warwickshire,,contract,ASC Connections  Ltd,Accounting & Finance Jobs,20k - 25k pa + PRO RATA,22500,jobsite.co.uk
69688129,Metallurgist  Materials Engineer,"The Company: My Client are a global network of laboratories with experts specializing in materials testing, product qualification testing and failure analysis. With a team of 1000 scientists, engineers and technicians working in laboratories located throughout the USA and Europe, theyre a single goto partner for quality, ontime materials technology solutions. The Role: My client is currently looking for an experienced Metallurgist/Materials Engineer with a high degree of experience in physical metallurgy covering all aspects of failure investigations, including corrosion failures. The examinations themselves will cover routine production in manufacturing, welding and heat treatment with some occasional site work. The Skills:  Educated to degree/diploma level  4 years experience in a similar role  MUST have some experience in failure investigations, plant charts, systems etc  anything that fails  Knowledge of SEM, EDAX, Replication, Material testing, general material and welding specifications would be an advantage but not a necessary requirement  The successful candidate will have a real can do attitude, be very hands on and have a great work ethic. Keywords: ( BSc or MSc ) and chemistry and ( physical metallurgy or metallurgist or materials engineer ) and SEM and EDAX and mechanical testing and failure investgations",Aberdeen,Aberdeen,,permanent,North Point Recruitment Ltd,Scientific & QA Jobs,25k pa,25000,jobsite.co.uk
69688130,Microbiologist QC PART TIME 3 days a week," PART TIME 3days a week  Merseyside  ****k**** Our Client is looking for a skilled Microbiologist required for QC (Quality Control) based work in GLP/ GMP environment. Candidates will be required to take pack in LAL testing, Gram Staining, TVC testing, Bioburden testing, environmental monitoring and others all to a GLP/ GMP standard. Candidates should also have knowledge of cell growth methods. For more information on this position please contact Sebastian Mariner on **** **** ****elly Services UK Ltd is acting as an employment business in relation to this vacancy. Kelly Services specialises in scientific, engineering, office, HR, charity and notforprofit, sales and marketing, call and contact centre, retail and hospitality roles. Founded over 60 years ago, we are an industry champion committed to best practice. Visit kellyservices.co.uk for more temporary and permanent opportunities across the UK.",Merseyside,Merseyside,part_time,,Kelly Scientific,Scientific & QA Jobs,25K-27K,26000,jobsite.co.uk
69688134,Employemnt Advisor,"Employment Advisor When you join Ingeus as an Employment Advisor, every client will be different. Theyll have different backgrounds, different needs and different goals. Its why we look for people with so many qualities people who can adapt their approach to any and every situation. It could be that you need to instil a sense of confidence in someone whos been out of work for a long time, for example. Or that you need to persuade a big local employer to consider one of your clients for a role when theyve already got a strong shortlist. Whatever the situation, its your empathy, resilience and communication skills that will make the difference and help people on that allimportant path back to a better longterm future. Are you ready to show us what youre made of? About Ingeus Ingeus is one of the UKs leading welfaretowork providers. Since **** weve helped over **** clients into suitable, lasting work. Whats more, weve been placed in the Sunday Times Best **** Companies to Work for list for the last four years. For you, it means the opportunity to help change peoples lives for the better as part of a company that goes out of its way to support its teams in achieving their own goals. As an Employment Advisor your main responsibilities will involve:  Finding ways to help people from all walks of life back into work  Providing guidance on everything from CV writing to interviews  Getting to know local employers, and encouraging them to meet with and interview your clients  Quickly getting to grips with your clients backgrounds and career goals, and keeping them motivated and focused As an Employment Advisor your skills and qualifications will ideally include:  The empathy it takes to engage with all sorts of people, and the confidence to challenge them if you need to  The ability to handle different cases at the same time in an environment where everyone has targets to achieve  Excellent communication skills, including the ability to motivate and inspire others  A tenacious approach, especially when it comes to bringing other people around to your way of thinking Ingeus welcomes applications from all sections of the community.","Skegness,Preston,Liverpool,Nottingham,Northampton,Bootle,Southport,Huyton,Leeds,Bradford,Huddersfield",UK,,permanent,Ingeus,HR & Recruitment Jobs,24585 pa + excellent benefits,24585,jobsite.co.uk
69688136,Head of Service,"Do you have experience of supporting people with learning disabilities and complex needs Are you passionate about what you do and the quality of it ? If so we would love to hear from you MacIntyre provides innovative and responsive support to an increasing number of people with learning disabilities across the UK. Our mission is to be recommended and respected for offering the best choice, providing best value and employing the best people in support of children and adults with learning disabilities. We commit to the individuals that we support; they will be at centre of their service and treated respectfully at all times. We will support them to communicate with us in a way of their personal choosing and to live a life that makes sense to them. We will think about the work we do and continuously check that they are satisfied, and we will support the person to take as much control of their life as they wish. If someone is unhappy we will listen and take action to put it right. We are looking for a professional and experienced head of service for our supported living environment in Chandlers Ford. The service is for **** apartments in a supported complex, supporting individuals who have learning disabilities and dementia. We need someone who has experience in dementia and older person care and managing large staff teams and change. An Individual who has knowledge of housing related support in a supported living setting and CQC legislation surrounding this. to include relevant qualifications in care NVQ level 3 or above You will be responsible for overseeing the daily running of the service and its Support Workers and Senior. You will ensure that the team have all relevant supervision, mentoring, appraisal and training required to support the people who live here. You will also liaise with families and health professionals and act as an exemplary role model for MacIntyre at all times. You will demonstrate a positive and highly polished lead by example approach whilst always ensuring that the people we support are at the centre of what is happening within the service. You will be (or would be happy to train to be) a key trainer in moving, handling and hoisting. You will ensure that all organisational, individual and financial obligations of Macintyre are met within your service to include all health and safety requirements and relevant risk assessments. You will be familiar with CQC and the standards and outcomes required ensuring the service remains fully compliant. You will also ensure that Macintyre s core values and codes of practice are continually upheld by all members of staff. This role requires the candidate to have demonstrative experience of supporting people with Learning Disabilities along with team management / leading experience and/or to have the Registered Managers Award or be happy to undertake the training. A full manual driving licence is essential. A full enhanced Criminal Records Bureau check will also be undertaken prior to any offer of employment. We offer an exceptional induction and ongoing training to facilitate the advancement of your career. Excellent benefits to include a basic salary of up to **** , up to **** day holiday, a contributory pension scheme and health assistance programme. Have you got what it takes to be a Head of Service with Macintyre? Why not click on Apply and we will send you an application pack to complete and return by the closing date of 1st February 2013. Should you be shortlisted we may invite you to visit our service and meet the people that you may be supporting as part of the interview process. Dependant on qualifications experience","Chandler s Ford,Hampshire",UK,,permanent,MacIntyre Care,Healthcare & Nursing Jobs,"20,724 to 24,087",22405,jobsite.co.uk
